year,area_of_residence,STATISTIC,value
2022,Clare,VSA38,9.6
2023,Roscommon,VSA38,9.6
2023,South-West,VSA38,9.6
2022,Waterford County,VSA38,9.5
2022,Sligo,VSA38,9.5
2023,Mayo,VSA38,9.5
2023,Kilkenny,VSA38,9.4
2023,Clare,VSA38,9.4
2017,Dun Laoghaire-Rathdown,VSA38,9.3
2023,Leitrim,VSA38,9.3
2022,Kerry,VSA38,9.2
2023,Cork City,VSA38,9.1
2023,Dun Laoghaire-Rathdown,VSA38,9.0
2021,Dun Laoghaire-Rathdown,VSA38,9.0
2023,Kerry,VSA38,8.8
2022,Cork City,VSA38,8.7
2022,Dun Laoghaire-Rathdown,VSA38,8.7
2023,Galway City,VSA38,8.7
2023,Waterford County,VSA38,8.6
2022,Galway City,VSA38,8.4
