year,age_group,sex,nuts_3_region,STATISTIC,value
2024,60 - 64 years,Both sexes,South-West,PEA26C01,44414.0
2023,20 - 24 years,Both sexes,South-West,PEA26C01,44070.0
2024,20 - 24 years,Female,Dublin,PEA26C01,43992.0
2024,25 - 29 years,Both sexes,South-West,PEA26C01,43653.0
2024,15 - 19 years,Female,Dublin,PEA26C01,43302.0
2023,15 - 19 years,Female,Dublin,PEA26C01,42956.0
2024,0 - 4 years,Male,Dublin,PEA26C01,42950.0
2023,60 - 64 years,Both sexes,South-West,PEA26C01,42866.0
2023,0 - 4 years,Male,Dublin,PEA26C01,42705.0
2024,55 - 59 years,Female,Dublin,PEA26C01,42345.0
2024,30 - 34 years,Both sexes,Mid-East,PEA26C01,42261.0
2023,25 - 29 years,Both sexes,South-West,PEA26C01,42107.0
2023,55 - 59 years,Female,Dublin,PEA26C01,41692.0
2024,0 - 4 years,Female,Dublin,PEA26C01,41319.0
2024,75 - 79 years,Both sexes,Dublin,PEA26C01,41204.0
2023,0 - 4 years,Both sexes,South-West,PEA26C01,41076.0
2024,60 - 64 years,Both sexes,Mid-East,PEA26C01,40934.0
2023,0 - 4 years,Female,Dublin,PEA26C01,40693.0
2024,40 - 44 years,Both sexes,Mid-West,PEA26C01,40533.0
2024,25 - 29 years,Both sexes,Mid-East,PEA26C01,40362.0
2023,40 - 44 years,Both sexes,Mid-West,PEA26C01,39775.0
2024,55 - 59 years,Male,Dublin,PEA26C01,39772.0
2023,75 - 79 years,Both sexes,Dublin,PEA26C01,39690.0
2024,0 - 4 years,Both sexes,South-West,PEA26C01,39506.0
2023,60 - 64 years,Both sexes,Mid-East,PEA26C01,39473.0
2024,40 - 44 years,Both sexes,West,PEA26C01,39249.0
2023,40 - 44 years,Both sexes,West,PEA26C01,39142.0
2024,60 - 64 years,Female,Dublin,PEA26C01,39097.0
2023,55 - 59 years,Male,Dublin,PEA26C01,38836.0
2023,25 - 29 years,Both sexes,Mid-East,PEA26C01,38776.0
2024,65 - 69 years,Both sexes,South-West,PEA26C01,38271.0
2023,60 - 64 years,Female,Dublin,PEA26C01,37726.0
2024,45 - 49 years,Both sexes,Mid-West,PEA26C01,37567.0
2023,45 - 49 years,Both sexes,Mid-West,PEA26C01,37298.0
2023,65 - 69 years,Both sexes,South-West,PEA26C01,37159.0
2023,10 - 14 years,Both sexes,Mid-West,PEA26C01,36915.0
2024,10 - 14 years,Both sexes,Mid-West,PEA26C01,36912.0
2024,45 - 49 years,Both sexes,West,PEA26C01,36489.0
2024,50 - 54 years,Both sexes,Mid-West,PEA26C01,36209.0
2024,15 - 19 years,Both sexes,Mid-West,PEA26C01,36144.0
2023,45 - 49 years,Both sexes,West,PEA26C01,35947.0
2024,60 - 64 years,Male,Dublin,PEA26C01,35919.0
2023,40 - 44 years,Both sexes,South-East,PEA26C01,35819.0
2024,40 - 44 years,Both sexes,South-East,PEA26C01,35340.0
2023,10 - 14 years,Both sexes,West,PEA26C01,35304.0
2024,10 - 14 years,Both sexes,West,PEA26C01,35242.0
2024,35 - 39 years,Both sexes,Mid-West,PEA26C01,35220.0
2023,35 - 39 years,Both sexes,Mid-West,PEA26C01,35131.0
2024,85 years and over,Male,Ireland,PEA26C01,34910.0
2023,50 - 54 years,Both sexes,Mid-West,PEA26C01,34879.0
2023,10 - 14 years,Both sexes,South-East,PEA26C01,34636.0
2023,60 - 64 years,Male,Dublin,PEA26C01,34634.0
2023,15 - 19 years,Both sexes,Mid-West,PEA26C01,34300.0
2024,45 - 49 years,Both sexes,South-East,PEA26C01,34298.0
2024,10 - 14 years,Both sexes,South-East,PEA26C01,34296.0
2024,15 - 19 years,Both sexes,South-East,PEA26C01,34256.0
2023,35 - 39 years,Both sexes,West,PEA26C01,34253.0
2024,65 - 69 years,Both sexes,Mid-East,PEA26C01,34097.0
2024,10 - 14 years,Both sexes,Border,PEA26C01,34094.0
2023,45 - 49 years,Both sexes,South-East,PEA26C01,33945.0
2024,50 - 54 years,Both sexes,West,PEA26C01,33941.0
2024,35 - 39 years,Both sexes,West,PEA26C01,33614.0
2023,40 - 44 years,Female,Mid-East,PEA26C01,33564.0
2023,50 - 54 years,Both sexes,West,PEA26C01,33409.0
2023,10 - 14 years,Both sexes,Border,PEA26C01,33340.0
2023,65 - 69 years,Both sexes,Mid-East,PEA26C01,33328.0
2024,40 - 44 years,Female,Mid-East,PEA26C01,33289.0
2023,85 years and over,Male,Ireland,PEA26C01,33077.0
2024,55 - 59 years,Both sexes,Mid-West,PEA26C01,33042.0
2024,50 - 54 years,Both sexes,South-East,PEA26C01,32944.0
2024,15 - 19 years,Both sexes,West,PEA26C01,32936.0
2024,70 - 74 years,Both sexes,South-West,PEA26C01,32880.0
2024,65 - 69 years,Female,Dublin,PEA26C01,32651.0
2023,55 - 59 years,Both sexes,Mid-West,PEA26C01,32602.0
2024,5 - 9 years,Both sexes,Mid-West,PEA26C01,32587.0
2023,5 - 9 years,Both sexes,West,PEA26C01,32572.0
2024,40 - 44 years,Both sexes,Border,PEA26C01,32513.0
2023,15 - 19 years,Both sexes,South-East,PEA26C01,32318.0
2023,50 - 54 years,Both sexes,South-East,PEA26C01,32252.0
2024,20 - 24 years,Both sexes,Mid-West,PEA26C01,32248.0
2023,5 - 9 years,Both sexes,Mid-West,PEA26C01,32193.0
2023,15 - 19 years,Both sexes,West,PEA26C01,32167.0
2023,70 - 74 years,Both sexes,South-West,PEA26C01,32066.0
2023,40 - 44 years,Both sexes,Border,PEA26C01,32041.0
2023,65 - 69 years,Female,Dublin,PEA26C01,31785.0
2023,10 - 14 years,Male,Mid-East,PEA26C01,31684.0
2024,5 - 9 years,Both sexes,West,PEA26C01,31670.0
2024,40 - 44 years,Female,South-West,PEA26C01,31606.0
2024,10 - 14 years,Male,Mid-East,PEA26C01,31418.0
2023,35 - 39 years,Both sexes,South-East,PEA26C01,31373.0
2024,40 - 44 years,Male,Mid-East,PEA26C01,31283.0
2023,40 - 44 years,Male,Mid-East,PEA26C01,31263.0
2024,45 - 49 years,Female,Mid-East,PEA26C01,31202.0
2024,55 - 59 years,Both sexes,West,PEA26C01,31119.0
2024,45 - 49 years,Both sexes,Border,PEA26C01,31105.0
2023,40 - 44 years,Female,South-West,PEA26C01,31014.0
2023,55 - 59 years,Both sexes,West,PEA26C01,30938.0
2023,45 - 49 years,Female,Mid-East,PEA26C01,30629.0
2024,60 - 64 years,Both sexes,Mid-West,PEA26C01,30601.0
2024,15 - 19 years,Both sexes,Border,PEA26C01,30561.0
2023,45 - 49 years,Both sexes,Border,PEA26C01,30515.0
2023,20 - 24 years,Both sexes,Mid-West,PEA26C01,30464.0
2024,55 - 59 years,Both sexes,South-East,PEA26C01,30376.0
2024,25 - 29 years,Both sexes,Mid-West,PEA26C01,30319.0
2024,35 - 39 years,Both sexes,South-East,PEA26C01,30313.0
2024,30 - 34 years,Both sexes,Mid-West,PEA26C01,30290.0
2023,10 - 14 years,Female,Mid-East,PEA26C01,30287.0
2024,5 - 9 years,Both sexes,Border,PEA26C01,30235.0
2024,20 - 24 years,Both sexes,West,PEA26C01,30065.0
2023,55 - 59 years,Both sexes,South-East,PEA26C01,29979.0
2023,30 - 34 years,Both sexes,Mid-West,PEA26C01,29955.0
2024,10 - 14 years,Female,Mid-East,PEA26C01,29936.0
2024,15 - 19 years,Male,Mid-East,PEA26C01,29902.0
2023,5 - 9 years,Both sexes,South-East,PEA26C01,29886.0
2024,50 - 54 years,Both sexes,Border,PEA26C01,29793.0
2023,60 - 64 years,Both sexes,Mid-West,PEA26C01,29731.0
2024,45 - 49 years,Male,Mid-East,PEA26C01,29671.0
2023,45 - 49 years,Male,Mid-East,PEA26C01,29627.0
2024,5 - 9 years,Both sexes,South-East,PEA26C01,29576.0
2023,35 - 39 years,Female,Mid-East,PEA26C01,29337.0
2024,65 - 69 years,Male,Dublin,PEA26C01,29282.0
2023,15 - 19 years,Both sexes,Border,PEA26C01,29278.0
2023,20 - 24 years,Both sexes,West,PEA26C01,29219.0
2023,50 - 54 years,Both sexes,Border,PEA26C01,29141.0
2023,40 - 44 years,Male,South-West,PEA26C01,29111.0
2024,20 - 24 years,Both sexes,South-East,PEA26C01,29089.0
2024,40 - 44 years,Male,South-West,PEA26C01,29020.0
2024,60 - 64 years,Both sexes,West,PEA26C01,29008.0
2023,5 - 9 years,Both sexes,Border,PEA26C01,29001.0
2024,45 - 49 years,Female,South-West,PEA26C01,28864.0
2023,30 - 34 years,Both sexes,West,PEA26C01,28862.0
2023,15 - 19 years,Male,Mid-East,PEA26C01,28807.0
2024,30 - 34 years,Both sexes,West,PEA26C01,28770.0
2023,0 - 4 years,Both sexes,Mid-West,PEA26C01,28716.0
2024,50 - 54 years,Female,Mid-East,PEA26C01,28556.0
2023,60 - 64 years,Both sexes,West,PEA26C01,28548.0
2023,65 - 69 years,Male,Dublin,PEA26C01,28521.0
2024,70 - 74 years,Both sexes,Mid-East,PEA26C01,28417.0
2023,35 - 39 years,Both sexes,Border,PEA26C01,28416.0
2024,50 - 54 years,Male,Mid-East,PEA26C01,28321.0
2024,60 - 64 years,Both sexes,South-East,PEA26C01,28282.0
2023,5 - 9 years,Male,Mid-East,PEA26C01,28232.0
2024,15 - 19 years,Female,Mid-East,PEA26C01,28144.0
2024,70 - 74 years,Female,Dublin,PEA26C01,28140.0
2024,35 - 39 years,Both sexes,Border,PEA26C01,28120.0
2023,25 - 29 years,Both sexes,Mid-West,PEA26C01,28119.0
2023,45 - 49 years,Female,South-West,PEA26C01,28078.0
2024,35 - 39 years,Female,Mid-East,PEA26C01,27996.0
