STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C03171V03833,C03171V03833_label,area_of_residence,value
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,B,Munster,Munster,95.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,130,Clare,Clare,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,141,Cork City,Cork City,18.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,142,Cork County,Cork County,28.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,150,Kerry,Kerry,11.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,161,Limerick City,Limerick City,6.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,162,Limerick County,Limerick County,9.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,171,North Tipperary,North Tipperary,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,172,South Tipperary,South Tipperary,7.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,181,Waterford City,Waterford City,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,182,Waterford County,Waterford County,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,C,Connacht,Connacht,19.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,191,Galway City,Galway City,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,192,Galway County,Galway County,6.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,200,Leitrim,Leitrim,2.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,210,Mayo,Mayo,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,220,Roscommon,Roscommon,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,230,Sligo,Sligo,1.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,D,Ulster (part of),Ulster (part of),19.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,240,Cavan,Cavan,8.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,250,Donegal,Donegal,6.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,260,Monaghan,Monaghan,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE11,Border,Border,35.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE12,Midland,Midland,17.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE13,West,West,16.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE21,Dublin,Dublin,124.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE22,Mid-East,Mid-East,29.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE23,Mid-West,Mid-West,25.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE24,South-East,South-East,28.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1992,1992,1992,IE25,South-West,South-West,57.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,-,State,State,302.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,A,Leinster,Leinster,163.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,010,Carlow,Carlow,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,021,Dublin City,Dublin City,36.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,022,South Dublin,South Dublin,22.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,023,Fingal,Fingal,11.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,024,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown,19.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,030,Kildare,Kildare,14.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,040,Kilkenny,Kilkenny,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,050,Laois,Laois,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,060,Longford,Longford,1.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,070,Louth,Louth,7.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,080,Meath,Meath,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,090,Offaly,Offaly,6.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,100,Westmeath,Westmeath,8.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,110,Wexford,Wexford,11.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,120,Wicklow,Wicklow,10.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,B,Munster,Munster,88.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,130,Clare,Clare,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,141,Cork City,Cork City,19.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,142,Cork County,Cork County,15.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,150,Kerry,Kerry,9.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,161,Limerick City,Limerick City,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,162,Limerick County,Limerick County,14.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,171,North Tipperary,North Tipperary,7.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,172,South Tipperary,South Tipperary,7.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,181,Waterford City,Waterford City,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,182,Waterford County,Waterford County,6.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,C,Connacht,Connacht,26.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,191,Galway City,Galway City,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,192,Galway County,Galway County,11.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,200,Leitrim,Leitrim,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,210,Mayo,Mayo,2.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,220,Roscommon,Roscommon,2.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,230,Sligo,Sligo,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,D,Ulster (part of),Ulster (part of),25.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,240,Cavan,Cavan,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,250,Donegal,Donegal,17.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,260,Monaghan,Monaghan,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,IE11,Border,Border,40.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,IE12,Midland,Midland,20.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,IE13,West,West,18.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,IE21,Dublin,Dublin,88.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,IE22,Mid-East,Mid-East,29.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,IE23,Mid-West,Mid-West,28.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,IE24,South-East,South-East,36.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1993,1993,1993,IE25,South-West,South-West,43.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,-,State,State,277.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,A,Leinster,Leinster,152.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,010,Carlow,Carlow,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,021,Dublin City,Dublin City,49.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,022,South Dublin,South Dublin,20.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,023,Fingal,Fingal,11.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,024,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown,13.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,030,Kildare,Kildare,19.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,040,Kilkenny,Kilkenny,9.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,050,Laois,Laois,0.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,060,Longford,Longford,1.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,070,Louth,Louth,8.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,080,Meath,Meath,2.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,090,Offaly,Offaly,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,100,Westmeath,Westmeath,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,110,Wexford,Wexford,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,120,Wicklow,Wicklow,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,B,Munster,Munster,85.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,130,Clare,Clare,8.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,141,Cork City,Cork City,22.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,142,Cork County,Cork County,23.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,150,Kerry,Kerry,7.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,161,Limerick City,Limerick City,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,162,Limerick County,Limerick County,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,171,North Tipperary,North Tipperary,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,172,South Tipperary,South Tipperary,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,181,Waterford City,Waterford City,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,182,Waterford County,Waterford County,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,C,Connacht,Connacht,22.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,191,Galway City,Galway City,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,192,Galway County,Galway County,8.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,200,Leitrim,Leitrim,2.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,210,Mayo,Mayo,6.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,220,Roscommon,Roscommon,2.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,230,Sligo,Sligo,0.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,D,Ulster (part of),Ulster (part of),18.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,240,Cavan,Cavan,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,250,Donegal,Donegal,10.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,260,Monaghan,Monaghan,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,IE11,Border,Border,28.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,IE12,Midland,Midland,10.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,IE13,West,West,20.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,IE21,Dublin,Dublin,93.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,IE22,Mid-East,Mid-East,25.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,IE23,Mid-West,Mid-West,21.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,IE24,South-East,South-East,28.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1994,1994,1994,IE25,South-West,South-West,52.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,-,State,State,311.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,A,Leinster,Leinster,168.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,010,Carlow,Carlow,6.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,021,Dublin City,Dublin City,50.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,022,South Dublin,South Dublin,21.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,023,Fingal,Fingal,13.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,024,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown,15.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,030,Kildare,Kildare,17.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,040,Kilkenny,Kilkenny,2.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,050,Laois,Laois,7.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,060,Longford,Longford,1.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,070,Louth,Louth,9.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,080,Meath,Meath,8.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,090,Offaly,Offaly,4.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,100,Westmeath,Westmeath,3.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,110,Wexford,Wexford,7.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,120,Wicklow,Wicklow,5.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,B,Munster,Munster,98.0
VSA94C01,Infant Mortality Number,Infant Mortality Number,1995,1995,1995,130,Clare,Clare,7.0
