year,age_group,sex,human_development_index_rating,STATISTIC,value
2024,20 - 24 years,Female,Very High Human Development Index (HDI),PEA27C01,2799.0
2024,Under 5 years,Both sexes,High Human Development Index (HDI),PEA27C01,2792.0
2023,75 - 79 years,Male,Very High Human Development Index (HDI),PEA27C01,2791.0
2023,55 - 59 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,2751.0
2024,60 - 64 years,Both sexes,High Human Development Index (HDI),PEA27C01,2686.0
2023,70 - 74 years,Female,Very High Human Development Index (HDI),PEA27C01,2675.0
2023,Under 5 years,Both sexes,High Human Development Index (HDI),PEA27C01,2668.0
2024,70 - 74 years,Female,Very High Human Development Index (HDI),PEA27C01,2636.0
2023,20 - 24 years,Female,Medium Human Development Index (HDI),PEA27C01,2550.0
2024,Under 5 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,2539.0
2023,20 - 24 years,Male,Very High Human Development Index (HDI),PEA27C01,2496.0
2024,45 - 49 years,Both sexes,Low Human Development Index (HDI),PEA27C01,2448.0
2024,60 - 64 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,2430.0
2024,50 - 54 years,Male,High Human Development Index (HDI),PEA27C01,2421.0
2024,20 - 24 years,Male,High Human Development Index (HDI),PEA27C01,2401.0
2023,Under 5 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,2393.0
2023,60 - 64 years,Both sexes,High Human Development Index (HDI),PEA27C01,2378.0
2023,25 - 29 years,Both sexes,Low Human Development Index (HDI),PEA27C01,2361.0
2023,10 - 14 years,Male,Very High Human Development Index (HDI),PEA27C01,2358.0
2024,75 - 79 years,Female,Very High Human Development Index (HDI),PEA27C01,2345.0
2024,10 - 14 years,Male,Very High Human Development Index (HDI),PEA27C01,2341.0
2024,15 - 19 years,Female,Very High Human Development Index (HDI),PEA27C01,2314.0
2024,80 - 84 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,2297.0
2024,25 - 29 years,Both sexes,Low Human Development Index (HDI),PEA27C01,2296.0
2023,75 - 79 years,Female,Very High Human Development Index (HDI),PEA27C01,2278.0
2024,85 years and over,Male,Human Development Index (HDI) - All ratings,PEA27C01,2277.0
2024,20 - 24 years,Male,Very High Human Development Index (HDI),PEA27C01,2267.0
2023,50 - 54 years,Male,High Human Development Index (HDI),PEA27C01,2262.0
2024,10 - 14 years,Female,Very High Human Development Index (HDI),PEA27C01,2242.0
2023,10 - 14 years,Female,Very High Human Development Index (HDI),PEA27C01,2241.0
2023,15 - 19 years,Female,Very High Human Development Index (HDI),PEA27C01,2230.0
2024,50 - 54 years,Female,High Human Development Index (HDI),PEA27C01,2228.0
2024,15 - 19 years,Female,High Human Development Index (HDI),PEA27C01,2216.0
2023,60 - 64 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,2204.0
2024,20 - 24 years,Male,Medium Human Development Index (HDI),PEA27C01,2201.0
2024,85 years and over,Female,Human Development Index (HDI) - All ratings,PEA27C01,2186.0
2023,80 - 84 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,2167.0
