year,age_group,sex,human_development_index_rating,STATISTIC,value
2023,85 years and over,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,10426.0
2023,25 - 29 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,10327.0
2023,65 - 69 years,Male,Very High Human Development Index (HDI),PEA27C01,10245.0
2024,65 - 69 years,Female,Very High Human Development Index (HDI),PEA27C01,10114.0
2024,35 - 39 years,Female,High Human Development Index (HDI),PEA27C01,10079.0
2024,25 - 29 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,9993.0
2023,Under 5 years,Male,Very High Human Development Index (HDI),PEA27C01,9868.0
2023,45 - 49 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,9812.0
2024,40 - 44 years,Female,High Human Development Index (HDI),PEA27C01,9780.0
2023,65 - 69 years,Female,Very High Human Development Index (HDI),PEA27C01,9756.0
2024,75 - 79 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,9684.0
2024,Under 5 years,Male,Very High Human Development Index (HDI),PEA27C01,9618.0
2023,35 - 39 years,Female,High Human Development Index (HDI),PEA27C01,9535.0
2023,Under 5 years,Female,Very High Human Development Index (HDI),PEA27C01,9528.0
2024,35 - 39 years,Male,High Human Development Index (HDI),PEA27C01,9493.0
2024,Under 5 years,Female,Very High Human Development Index (HDI),PEA27C01,9461.0
2024,75 - 79 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,9444.0
2024,40 - 44 years,Male,High Human Development Index (HDI),PEA27C01,9396.0
2023,75 - 79 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,9351.0
2023,40 - 44 years,Female,High Human Development Index (HDI),PEA27C01,9242.0
2024,80 - 84 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,9177.0
2023,75 - 79 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,9164.0
2024,30 - 34 years,Female,High Human Development Index (HDI),PEA27C01,9071.0
2023,35 - 39 years,Male,High Human Development Index (HDI),PEA27C01,9015.0
2023,40 - 44 years,Male,High Human Development Index (HDI),PEA27C01,8914.0
2023,30 - 34 years,Female,High Human Development Index (HDI),PEA27C01,8873.0
2024,70 - 74 years,Male,Very High Human Development Index (HDI),PEA27C01,8828.0
2023,70 - 74 years,Male,Very High Human Development Index (HDI),PEA27C01,8753.0
2024,30 - 34 years,Male,High Human Development Index (HDI),PEA27C01,8657.0
2023,80 - 84 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,8637.0
2024,70 - 74 years,Female,Very High Human Development Index (HDI),PEA27C01,8524.0
2023,70 - 74 years,Female,Very High Human Development Index (HDI),PEA27C01,8400.0
2023,30 - 34 years,Male,High Human Development Index (HDI),PEA27C01,8369.0
2024,20 - 24 years,Both sexes,High Human Development Index (HDI),PEA27C01,8355.0
2024,85 years and over,Both sexes,Very High Human Development Index (HDI),PEA27C01,8291.0
2024,35 - 39 years,Female,Medium Human Development Index (HDI),PEA27C01,8127.0
2024,40 - 44 years,Female,Medium Human Development Index (HDI),PEA27C01,8091.0
2024,50 - 54 years,Both sexes,High Human Development Index (HDI),PEA27C01,7999.0
2023,35 - 39 years,Female,Medium Human Development Index (HDI),PEA27C01,7881.0
2023,85 years and over,Both sexes,Very High Human Development Index (HDI),PEA27C01,7767.0
2024,40 - 44 years,Male,Medium Human Development Index (HDI),PEA27C01,7738.0
2023,20 - 24 years,Both sexes,High Human Development Index (HDI),PEA27C01,7730.0
2023,40 - 44 years,Female,Medium Human Development Index (HDI),PEA27C01,7593.0
2024,40 - 44 years,Both sexes,Low Human Development Index (HDI),PEA27C01,7484.0
2024,35 - 39 years,Male,Medium Human Development Index (HDI),PEA27C01,7439.0
2023,50 - 54 years,Both sexes,High Human Development Index (HDI),PEA27C01,7346.0
2023,40 - 44 years,Male,Medium Human Development Index (HDI),PEA27C01,7345.0
2023,30 - 34 years,Female,Medium Human Development Index (HDI),PEA27C01,7342.0
2024,15 - 19 years,Both sexes,High Human Development Index (HDI),PEA27C01,7342.0
2024,30 - 34 years,Female,Medium Human Development Index (HDI),PEA27C01,7319.0
2023,35 - 39 years,Male,Medium Human Development Index (HDI),PEA27C01,7288.0
2024,75 - 79 years,Male,Very High Human Development Index (HDI),PEA27C01,7269.0
2024,35 - 39 years,Both sexes,Low Human Development Index (HDI),PEA27C01,7045.0
2024,75 - 79 years,Female,Very High Human Development Index (HDI),PEA27C01,7037.0
2023,75 - 79 years,Male,Very High Human Development Index (HDI),PEA27C01,7008.0
2024,30 - 34 years,Male,Medium Human Development Index (HDI),PEA27C01,6967.0
2023,40 - 44 years,Both sexes,Low Human Development Index (HDI),PEA27C01,6964.0
2024,10 - 14 years,Both sexes,High Human Development Index (HDI),PEA27C01,6920.0
2023,35 - 39 years,Both sexes,Low Human Development Index (HDI),PEA27C01,6894.0
2023,75 - 79 years,Female,Very High Human Development Index (HDI),PEA27C01,6841.0
2023,30 - 34 years,Male,Medium Human Development Index (HDI),PEA27C01,6838.0
2023,15 - 19 years,Both sexes,High Human Development Index (HDI),PEA27C01,6811.0
2024,20 - 24 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,6757.0
