year,age_group,nuts_3_region,STATISTIC,value
2023,40 - 44 years,Dublin,VSA104C02,22.0
1976,15 - 19 years,Ireland,VSA104C02,21.9
2021,40 - 44 years,Border,VSA104C02,21.9
2022,40 - 44 years,Dublin,VSA104C02,21.9
2020,40 - 44 years,Ireland,VSA104C02,21.8
1978,15 - 19 years,Ireland,VSA104C02,21.8
1984,40 - 44 years,Ireland,VSA104C02,21.8
2017,40 - 44 years,Ireland,VSA104C02,21.7
2010,40 - 44 years,Ireland,VSA104C02,21.7
1985,40 - 44 years,Ireland,VSA104C02,21.6
2023,40 - 44 years,South-West,VSA104C02,21.5
2022,40 - 44 years,South-West,VSA104C02,21.4
2021,40 - 44 years,Mid-East,VSA104C02,21.4
1972,15 - 19 years,Ireland,VSA104C02,21.3
2022,40 - 44 years,Ireland,VSA104C02,21.2
1986,40 - 44 years,Ireland,VSA104C02,21.2
1977,15 - 19 years,Ireland,VSA104C02,21.2
2009,40 - 44 years,Ireland,VSA104C02,20.9
2022,20 - 24 years,West,VSA104C02,20.8
1982,15 - 19 years,Ireland,VSA104C02,20.7
2023,40 - 44 years,Ireland,VSA104C02,20.7
2022,40 - 44 years,Mid-West,VSA104C02,20.5
2023,40 - 44 years,Border,VSA104C02,20.4
2023,40 - 44 years,Mid-East,VSA104C02,20.3
1999,15 - 19 years,Ireland,VSA104C02,20.2
2022,40 - 44 years,Mid-East,VSA104C02,20.1
2022,40 - 44 years,Border,VSA104C02,20.1
2001,15 - 19 years,Ireland,VSA104C02,19.9
1987,40 - 44 years,Ireland,VSA104C02,19.8
2008,40 - 44 years,Ireland,VSA104C02,19.7
2021,40 - 44 years,Midland,VSA104C02,19.6
2000,15 - 19 years,Ireland,VSA104C02,19.5
2002,15 - 19 years,Ireland,VSA104C02,19.4
2007,40 - 44 years,Ireland,VSA104C02,19.4
2022,40 - 44 years,Midland,VSA104C02,19.4
1998,15 - 19 years,Ireland,VSA104C02,19.2
1971,15 - 19 years,Ireland,VSA104C02,19.1
2003,15 - 19 years,Ireland,VSA104C02,19.0
2023,20 - 24 years,South-West,VSA104C02,18.8
2022,40 - 44 years,South-East,VSA104C02,18.8
1983,15 - 19 years,Ireland,VSA104C02,18.7
2021,40 - 44 years,South-East,VSA104C02,18.5
2023,40 - 44 years,Midland,VSA104C02,18.3
2023,40 - 44 years,South-East,VSA104C02,18.2
2006,40 - 44 years,Ireland,VSA104C02,18.1
1984,15 - 19 years,Ireland,VSA104C02,18.0
2023,40 - 44 years,Mid-West,VSA104C02,17.9
1988,40 - 44 years,Ireland,VSA104C02,17.8
2023,20 - 24 years,West,VSA104C02,17.8
1997,15 - 19 years,Ireland,VSA104C02,17.5
2007,15 - 19 years,Ireland,VSA104C02,17.4
1991,15 - 19 years,Ireland,VSA104C02,17.1
2004,15 - 19 years,Ireland,VSA104C02,17.1
1989,40 - 44 years,Ireland,VSA104C02,17.0
2005,40 - 44 years,Ireland,VSA104C02,16.9
1992,15 - 19 years,Ireland,VSA104C02,16.9
2005,15 - 19 years,Ireland,VSA104C02,16.8
1996,15 - 19 years,Ireland,VSA104C02,16.7
1990,15 - 19 years,Ireland,VSA104C02,16.7
