STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C02076V03371,C02076V03371_label,age_group,C03788V04538,C03788V04538_label,nuts_3_region,C02199V02655,C02199V02655_label,sex,value
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,-,Both sexes,Both sexes,22703.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,1,Male,Male,11614.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,2,Female,Female,11089.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,-,Both sexes,Both sexes,32193.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,1,Male,Male,16521.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,2,Female,Female,15672.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,-,Both sexes,Both sexes,29886.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,1,Male,Male,15305.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,2,Female,Female,14581.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,-,Both sexes,Both sexes,48045.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,1,Male,Male,24750.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,2,Female,Female,23295.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,-,Both sexes,Both sexes,32572.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,1,Male,Male,16658.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,2,Female,Female,15914.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,IE0,Ireland,Ireland,-,Both sexes,Both sexes,341967.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,IE0,Ireland,Ireland,1,Male,Male,175211.0
PEA26C01,Persons,Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,IE0,Ireland,Ireland,2,Female,Female,166756.0
PEA26C01,Persons,Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,-,Both sexes,Both sexes,33340.0
PEA26C01,Persons,Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,1,Male,Male,16938.0
PEA26C01,Persons,Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,2,Female,Female,16402.0
PEA26C01,Persons,Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,-,Both sexes,Both sexes,98734.0
PEA26C01,Persons,Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,1,Male,Male,50373.0
PEA26C01,Persons,Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,2,Female,Female,48361.0
PEA26C01,Persons,Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,-,Both sexes,Both sexes,61971.0
PEA26C01,Persons,Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,1,Male,Male,31684.0
PEA26C01,Persons,Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,2,Female,Female,30287.0
PEA26C01,Persons,Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,-,Both sexes,Both sexes,25026.0
PEA26C01,Persons,Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,1,Male,Male,12886.0
PEA26C01,Persons,Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,2,Female,Female,12140.0
PEA26C01,Persons,Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,-,Both sexes,Both sexes,36915.0
PEA26C01,Persons,Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,1,Male,Male,18960.0
