STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C03788V04538,C03788V04538_label,nuts_3_region,C02199V02655,C02199V02655_label,sex,value
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,2,Female,Female,29.9
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,-,Both sexes,Both sexes,28.3
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,1,Male,Male,27.5
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,2,Female,Female,29.1
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,-,Both sexes,Both sexes,30.1
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,1,Male,Male,29.3
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,2,Female,Female,30.9
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,IE0,Ireland,Ireland,-,Both sexes,Both sexes,26.2
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,IE0,Ireland,Ireland,1,Male,Male,25.1
PEA29C01,Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),Old Age Dependency Ratio (Proportion of People aged 65 + to People aged 20-64),2024,2024,2024,IE0,Ireland,Ireland,2,Female,Female,27.3
