STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C02076V03371,C02076V03371_label,age_group,C02199V02655,C02199V02655_label,sex,C04292V05069,C04292V05069_label,human_development_index_rating,value
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,2,Female,Female,30,Low Human Development Index (HDI),Low Human Development Index (HDI),1215.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,2,Female,Female,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),4728.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,410,25 - 29 years,25 - 29 years,2,Female,Female,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),4930.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,43751.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,-,Both sexes,Both sexes,20,High Human Development Index (HDI),High Human Development Index (HDI),14336.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,-,Both sexes,Both sexes,30,Low Human Development Index (HDI),Low Human Development Index (HDI),3537.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,-,Both sexes,Both sexes,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),12940.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),12938.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,21354.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),6903.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,1,Male,Male,30,Low Human Development Index (HDI),Low Human Development Index (HDI),1747.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,1,Male,Male,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),6215.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,1,Male,Male,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),6489.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,2,Female,Female,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,22397.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,2,Female,Female,20,High Human Development Index (HDI),High Human Development Index (HDI),7433.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,2,Female,Female,30,Low Human Development Index (HDI),Low Human Development Index (HDI),1790.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,2,Female,Female,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),6725.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,440,30 - 34 years,30 - 34 years,2,Female,Female,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),6449.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,46569.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,-,Both sexes,Both sexes,20,High Human Development Index (HDI),High Human Development Index (HDI),15344.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,-,Both sexes,Both sexes,30,Low Human Development Index (HDI),Low Human Development Index (HDI),3775.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,-,Both sexes,Both sexes,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),13770.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),13680.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,22745.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),7414.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,1,Male,Male,30,Low Human Development Index (HDI),Low Human Development Index (HDI),1797.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,1,Male,Male,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),6601.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,1,Male,Male,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),6933.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,2,Female,Female,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,23824.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,2,Female,Female,20,High Human Development Index (HDI),High Human Development Index (HDI),7930.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,2,Female,Female,30,Low Human Development Index (HDI),Low Human Development Index (HDI),1978.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,2,Female,Female,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),7169.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,460,35 - 39 years,35 - 39 years,2,Female,Female,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),6747.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,475,40 - 44 years,40 - 44 years,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,44880.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,475,40 - 44 years,40 - 44 years,-,Both sexes,Both sexes,20,High Human Development Index (HDI),High Human Development Index (HDI),14576.0
